"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.451536643026005,0.35050983082288,0.646684517849443
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1017,0.366430260047281,0.319639096347609,0.546618394511777
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1018,0.319148936170213,0.229491447425784,0.468244185230896
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1019,0.268715524034673,0.314961789101302,0.445475543140865
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1020,0.394011032308905,0.360037163641741,0.658427412939262
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1021,0.38140267927502,0.271204308618965,0.562460922230774
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1022,0.315208825847124,0.307585666940668,0.54306878062532
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1023,0.375886524822695,0.390593029533765,0.543659540355913
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1024,0.260835303388495,0.327590446182296,0.509812195904798
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1025,0.399527186761229,0.338743174269788,0.551293269773228
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1026,0.414499605988968,0.378327658398965,0.684029195777186
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1027,0.37037037037037,0.296084708569845,0.535839692789521
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1028,0.358550039401103,0.296289493347616,0.543479830914293
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1029,0.315996847911742,0.305616233059283,0.513717892607112
"PHMRC","Mexico","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1030,0.419227738376675,0.385193195869567,0.58065052546921
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1001,0.521008403361345,0.353506493506493,0.626935114626119
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1002,0.491596638655462,0.449272393699638,0.642419188122296
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1003,0.495798319327731,0.554053534457261,0.618200214375035
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1004,0.546218487394958,0.478681917211329,0.613454274213726
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1005,0.449579831932773,0.3796948522492,0.547401000553584
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1006,0.399159663865546,0.486463708290334,0.538681159137049
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1007,0.298319327731092,0.425640165755297,0.429096311979153
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1008,0.415966386554622,0.53534821903243,0.522764903134108
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1009,0.617647058823529,0.497506568284892,0.721413562437879
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1010,0.420168067226891,0.27924654710369,0.522701694008267
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1011,0.336134453781513,0.508753052503052,0.40846495187556
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1012,0.466386554621849,0.476290737926376,0.517362147225062
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1013,0.323529411764706,0.47726537500731,0.509494732779758
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1014,0.525210084033613,0.431423611111111,0.614468186765623
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1015,0.516806722689076,0.590193160597572,0.56015957400809
"PHMRC","Pemba","mild","bfl_domain","LCVA","gibbs_dir","batch_paper1",1016,0.449579831932773,0.463995508113155,0.59196030967973
