"dataset","target","shift","method","phi_source","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1006,0.457627118644068,0.4671875,0.588345125317937
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1007,0.372881355932203,0.349206349206349,0.485732203407228
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1008,0.322033898305085,0.714285714285714,0.321426028523674
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1009,0.423728813559322,0.454342532467532,0.600306125864253
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1010,0.389830508474576,0.384157509157509,0.492726567603214
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1011,0.169491525423729,0.3,0.392203544039688
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1012,0.457627118644068,0.390966051492367,0.473008379146282
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.305084745762712,0.363461538461538,0.549242414686781
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.322033898305085,0.417159763313609,0.524478528837237
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.338983050847458,0.578703703703704,0.460446639739357
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.457627118644068,0.603896103896104,0.524202531637996
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.254237288135593,0.357142857142857,0.485916349435375
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.101694915254237,0.358333333333333,0.292044562312242
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.338983050847458,0.38452380952381,0.483995390493671
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.186440677966102,0.472222222222222,0.322301369723292
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.338983050847458,0.457792207792208,0.463589122436621
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.322033898305085,0.421130952380952,0.510828384824249
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.389830508474576,0.474188311688312,0.507863956979148
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.23728813559322,0.416666666666667,0.385000553203482
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.474576271186441,0.358585858585859,0.48156824866532
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.423728813559322,0.431818181818182,0.534806422986933
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.288135593220339,0.425,0.442814575990063
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.440677966101695,0.473333333333333,0.523838301715031
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.372881355932203,0.395,0.377033076014583
"PHMRC","Pemba","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.23728813559322,0.255555555555556,0.477461933906153
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1001,0.309859154929577,0.378632406139713,0.55905124165047
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1003,0.211267605633803,0.294004144004144,0.417042359713275
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1004,0.193661971830986,0.304094778007821,0.391785093963751
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1005,0.359154929577465,0.37717845453779,0.52529444005312
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1006,0.376760563380282,0.358944911712607,0.628301778115478
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1007,0.447183098591549,0.354788832092419,0.724496570824721
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1008,0.345070422535211,0.294341757022112,0.562577261895303
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1009,0.394366197183099,0.327346639013867,0.542680929267211
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1010,0.214788732394366,0.268228291052178,0.417968934209923
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1011,0.313380281690141,0.410179295049337,0.461414094232909
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1012,0.23943661971831,0.350027390981338,0.470574040734433
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1013,0.221830985915493,0.394428007889546,0.393406985537529
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1014,0.23943661971831,0.255812269152982,0.479129342292702
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1015,0.390845070422535,0.43049416285776,0.579654606477455
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1016,0.338028169014085,0.40669208046309,0.542908090454491
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1017,0.355633802816901,0.38278916154856,0.546336041955185
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1018,0.313380281690141,0.314632770833681,0.508464942827807
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1019,0.257042253521127,0.321344771393504,0.5049882424773
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1020,0.22887323943662,0.370661665920287,0.401359347257084
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1021,0.383802816901408,0.363706153618434,0.526303677223325
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1022,0.380281690140845,0.404639457232168,0.580108203592323
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1023,0.22887323943662,0.322752324835658,0.410130319597317
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1024,0.366197183098592,0.350448139025725,0.576149652652794
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1025,0.235915492957746,0.386721478714943,0.421194989840392
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1026,0.274647887323944,0.361631772166889,0.530018017680616
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1027,0.292253521126761,0.376108175723993,0.505678303345719
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1028,0.338028169014085,0.357923736273409,0.518184316522893
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1029,0.46830985915493,0.408629982543395,0.713770895087311
"PHMRC","UP","mild","bfl_mix","LCVA","gibbs_dir","batch1",1030,0.288732394366197,0.430514141691312,0.461644520308584
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1001,0.237942122186495,0.230608697565404,0.458599929601823
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1002,0.221864951768489,0.2317253470214,0.456256139644151
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1003,0.270096463022508,0.235413533407275,0.47283859617059
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1004,0.241157556270096,0.243211800849372,0.419195343708775
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1005,0.254019292604502,0.213240077153121,0.523166706887661
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1007,0.279742765273312,0.29485793214446,0.499425578148878
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1008,0.237942122186495,0.241555532590015,0.499017907209121
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1009,0.234726688102894,0.259580719158443,0.484535429072651
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1010,0.221864951768489,0.140913138352163,0.607205309907591
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1011,0.237942122186495,0.170028008871381,0.492217010545921
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1012,0.141479099678457,0.235321891370278,0.374458149275954
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1013,0.15112540192926,0.212343006956494,0.351966725818821
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1014,0.257234726688103,0.245245251794264,0.588886715998464
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1015,0.163987138263666,0.18541741482918,0.362453136808267
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1016,0.257234726688103,0.209185695656237,0.520075410024055
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1017,0.112540192926045,0.220915570175439,0.321002482838476
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1018,0.315112540192926,0.220494317824976,0.518289054867942
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1019,0.144694533762058,0.166535841068948,0.37805762859359
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1020,0.234726688102894,0.163788452094299,0.42684095633089
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1021,0.247588424437299,0.246059675091933,0.491940028965258
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1022,0.257234726688103,0.204073957775368,0.506888123193814
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1023,0.372990353697749,0.260432712448841,0.517939307384022
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1024,0.35048231511254,0.243217729911278,0.537601869708772
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1025,0.141479099678457,0.213148850938225,0.379858980599905
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1026,0.19935691318328,0.233484160211134,0.438528358597861
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1027,0.234726688102894,0.173743776155328,0.448346335201555
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1028,0.215434083601286,0.271238587055678,0.41235225412405
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1029,0.260450160771704,0.239198492509189,0.472001405208921
"PHMRC","AP","mild","bfl_partial","LCVA","gibbs_dir","batch1",1030,0.221864951768489,0.244612381798606,0.460513271631038
"PHMRC","Bohol","mild","bfl_partial","LCVA","gibbs_dir","batch1",1001,0.253968253968254,0.235930269293702,0.625850765646641
"PHMRC","Bohol","mild","bfl_partial","LCVA","gibbs_dir","batch1",1002,0.19047619047619,0.207495590828924,0.566262802102391
"PHMRC","Bohol","mild","bfl_partial","LCVA","gibbs_dir","batch1",1003,0.297619047619048,0.245248080780281,0.520429032258641
"PHMRC","Bohol","mild","bfl_partial","LCVA","gibbs_dir","batch1",1004,0.119047619047619,0.168349206349206,0.435182466223183
"PHMRC","Bohol","mild","bfl_partial","LCVA","gibbs_dir","batch1",1005,0.222222222222222,0.244001831501831,0.482125500580834
