"dataset","method","frac","sampler","batch","seed","top1_acc","balanced_acc","csmf_acc"
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8068,0.633663366336634,0.243872253167836,0.778196217060258
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8069,0.633663366336634,0.243872253167836,0.778083749823536
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8070,0.633663366336634,0.243872253167836,0.778125642825833
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8071,0.633663366336634,0.243872253167836,0.778221899529682
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8072,0.633663366336634,0.243872253167836,0.778142470360773
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8073,0.633663366336634,0.243872253167836,0.778320048418564
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8074,0.633663366336634,0.243872253167836,0.778378253583399
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8075,0.633663366336634,0.243872253167836,0.778342229447627
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8076,0.633663366336634,0.243872253167836,0.778613496894181
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8077,0.633663366336634,0.243872253167836,0.778259058936124
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8078,0.633663366336634,0.243872253167836,0.778225254710989
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8079,0.633663366336634,0.243872253167836,0.778251011620711
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8080,0.633663366336634,0.243872253167836,0.778225061701991
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8081,0.633663366336634,0.243872253167836,0.778277729814941
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8082,0.633663366336634,0.243872253167836,0.778439105427926
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8083,0.633663366336634,0.243872253167836,0.778374537080521
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8084,0.633663366336634,0.243872253167836,0.778112435935509
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8085,0.633663366336634,0.243872253167836,0.778554649747385
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8086,0.633663366336634,0.243872253167836,0.77829552539345
"CHAMPS","bfl_base",0,"gibbs_dir","batch8",8087,0.633663366336634,0.243872253167836,0.778493939368008
