"target","variant","cause","domain","lambda"
"Mexico","BFL_partial","Malaria","AP",0.255021738152455
"Mexico","BFL_partial","Asthma","AP",0.206018842857558
"Mexico","BFL_partial","Diarrhea/Dysentery","AP",0.171948581648922
"Mexico","BFL_partial","Colorectal Cancer","AP",0.472703204752635
"Mexico","BFL_partial","Homicide","AP",0.280658829268553
"Mexico","BFL_partial","Breast Cancer","AP",0.0270460874024848
"Mexico","BFL_partial","Leukemia/Lymphomas","AP",0.0351004938547876
"Mexico","BFL_partial","Poisonings","AP",0.222093986470494
"Mexico","BFL_partial","Prostate Cancer","AP",0.240905582728737
"Mexico","BFL_partial","Esophageal Cancer","AP",0.324000600817212
"Mexico","BFL_partial","Stomach Cancer","AP",0.142064026418842
"Mexico","BFL_partial","Cirrhosis","Bohol",0.721761884240935
"Mexico","BFL_partial","Epilepsy","Bohol",0.411740985771264
"Mexico","BFL_partial","Pneumonia","Bohol",0.251248662338196
"Mexico","BFL_partial","COPD","Bohol",0.0303728862305074
"Mexico","BFL_partial","Acute Myocardial Infarction","Bohol",0.497875870342267
"Mexico","BFL_partial","Fires","Bohol",0.27389791515077
"Mexico","BFL_partial","Renal Failure","Bohol",0.11048242289305
"Mexico","BFL_partial","AIDS","Bohol",0
"Mexico","BFL_partial","Lung Cancer","Bohol",0.397177262770964
"Mexico","BFL_partial","Maternal","Bohol",0.0997896693819741
"Mexico","BFL_partial","Drowning","Bohol",0.175089066313949
"Mexico","BFL_partial","Other Cardiovascular Diseases","Bohol",0.836614830330017
"Mexico","BFL_partial","Other Non-communicable Diseases","Bohol",0.58097926539373
"Mexico","BFL_partial","Falls","Bohol",0.112428353103018
"Mexico","BFL_partial","Stroke","Bohol",0.385110376710248
"Mexico","BFL_partial","Road Traffic","Bohol",0.0777059582638867
"Mexico","BFL_partial","Bite of Venomous Animal","Bohol",0.249921922919085
"Mexico","BFL_partial","Diabetes","Bohol",0.366931766666415
"Mexico","BFL_partial","Other Infectious Diseases","Bohol",0.338727493275629
"Mexico","BFL_partial","TB","Bohol",0.213379932448501
"Mexico","BFL_partial","Suicide","Bohol",0.256389434152929
"Mexico","BFL_partial","Other Injuries","Bohol",0.263282518532475
"Mexico","BFL_partial","Cervical Cancer","Bohol",0.404675041541548
"Mexico","BFL_partial","Malaria","Bohol",0
"Mexico","BFL_partial","Asthma","Bohol",0.317054898493186
"Mexico","BFL_partial","Diarrhea/Dysentery","Bohol",0.302474068400328
"Mexico","BFL_partial","Colorectal Cancer","Bohol",0.379240936634396
"Mexico","BFL_partial","Homicide","Bohol",0.656510535523077
"Mexico","BFL_partial","Breast Cancer","Bohol",0.689782731107326
"Mexico","BFL_partial","Leukemia/Lymphomas","Bohol",0.856627142387776
"Mexico","BFL_partial","Poisonings","Bohol",0.088824117265815
"Mexico","BFL_partial","Prostate Cancer","Bohol",0.281959196812046
"Mexico","BFL_partial","Esophageal Cancer","Bohol",0.330604427958928
"Mexico","BFL_partial","Stomach Cancer","Bohol",0.329435945994747
"Mexico","BFL_partial","Cirrhosis","Dar",0.00874399364491634
"Mexico","BFL_partial","Epilepsy","Dar",0.155611989474387
"Mexico","BFL_partial","Pneumonia","Dar",0.0178988045313714
"Mexico","BFL_partial","COPD","Dar",0.0417945250391437
"Mexico","BFL_partial","Acute Myocardial Infarction","Dar",0.013068285027158
"Mexico","BFL_partial","Fires","Dar",0.0959575538186852
"Mexico","BFL_partial","Renal Failure","Dar",0.0335459381493894
"Mexico","BFL_partial","AIDS","Dar",0.0352913896132175
"Mexico","BFL_partial","Lung Cancer","Dar",0.147912864994716
"Mexico","BFL_partial","Maternal","Dar",0.233114237785021
"Mexico","BFL_partial","Drowning","Dar",0.175911092017269
"Mexico","BFL_partial","Other Cardiovascular Diseases","Dar",0.0294728561199227
"Mexico","BFL_partial","Other Non-communicable Diseases","Dar",0.0429032876148802
"Mexico","BFL_partial","Falls","Dar",0.0309078167948897
"Mexico","BFL_partial","Stroke","Dar",0.0442039698433969
"Mexico","BFL_partial","Road Traffic","Dar",0.0295815580203921
"Mexico","BFL_partial","Bite of Venomous Animal","Dar",0
"Mexico","BFL_partial","Diabetes","Dar",0.0353326872103345
"Mexico","BFL_partial","Other Infectious Diseases","Dar",0.0145608606356423
"Mexico","BFL_partial","TB","Dar",0.0675760354929763
"Mexico","BFL_partial","Suicide","Dar",0.256885907183077
"Mexico","BFL_partial","Other Injuries","Dar",0.194015036380975
"Mexico","BFL_partial","Cervical Cancer","Dar",0.526458654623418
"Mexico","BFL_partial","Malaria","Dar",0.252124155394278
"Mexico","BFL_partial","Asthma","Dar",0.158072777673908
"Mexico","BFL_partial","Diarrhea/Dysentery","Dar",0.152372215064812
"Mexico","BFL_partial","Colorectal Cancer","Dar",0.148055858612969
"Mexico","BFL_partial","Homicide","Dar",0.0185900782279346
"Mexico","BFL_partial","Breast Cancer","Dar",0.137090473691144
"Mexico","BFL_partial","Leukemia/Lymphomas","Dar",0.0863379833283913
"Mexico","BFL_partial","Poisonings","Dar",0.0907060734376628
"Mexico","BFL_partial","Prostate Cancer","Dar",0.477135220459216
"Mexico","BFL_partial","Esophageal Cancer","Dar",0.34539497122386
"Mexico","BFL_partial","Stomach Cancer","Dar",0.528500027586411
"Mexico","BFL_partial","Cirrhosis","Pemba",0
"Mexico","BFL_partial","Epilepsy","Pemba",0
"Mexico","BFL_partial","Pneumonia","Pemba",0.123705717395535
"Mexico","BFL_partial","COPD","Pemba",0
"Mexico","BFL_partial","Acute Myocardial Infarction","Pemba",0
"Mexico","BFL_partial","Fires","Pemba",0.0938780932114794
"Mexico","BFL_partial","Renal Failure","Pemba",0
"Mexico","BFL_partial","AIDS","Pemba",0
"Mexico","BFL_partial","Lung Cancer","Pemba",0
"Mexico","BFL_partial","Maternal","Pemba",0.296428722979764
"Mexico","BFL_partial","Drowning","Pemba",0.23166910841711
"Mexico","BFL_partial","Other Cardiovascular Diseases","Pemba",0
"Mexico","BFL_partial","Other Non-communicable Diseases","Pemba",0.179927435043074
"Mexico","BFL_partial","Falls","Pemba",0.0978747553783793
"Mexico","BFL_partial","Stroke","Pemba",0
"Mexico","BFL_partial","Road Traffic","Pemba",0.0270497775741302
"Mexico","BFL_partial","Bite of Venomous Animal","Pemba",0
"Mexico","BFL_partial","Diabetes","Pemba",0.227628798727139
"Mexico","BFL_partial","Other Infectious Diseases","Pemba",0.0290932659098704
"Mexico","BFL_partial","TB","Pemba",0.122715783563192
"Mexico","BFL_partial","Suicide","Pemba",0.123896476881035
"Mexico","BFL_partial","Other Injuries","Pemba",0.148473521509039
"Mexico","BFL_partial","Cervical Cancer","Pemba",0
"Mexico","BFL_partial","Malaria","Pemba",0.241731961822268
"Mexico","BFL_partial","Asthma","Pemba",0.160211353613053
"Mexico","BFL_partial","Diarrhea/Dysentery","Pemba",0.258243261887949
"Mexico","BFL_partial","Colorectal Cancer","Pemba",0
"Mexico","BFL_partial","Homicide","Pemba",0.0208088322502035
"Mexico","BFL_partial","Breast Cancer","Pemba",0
"Mexico","BFL_partial","Leukemia/Lymphomas","Pemba",0
"Mexico","BFL_partial","Poisonings","Pemba",0.0879138643619163
"Mexico","BFL_partial","Prostate Cancer","Pemba",0
"Mexico","BFL_partial","Esophageal Cancer","Pemba",0
"Mexico","BFL_partial","Stomach Cancer","Pemba",0
"Mexico","BFL_partial","Cirrhosis","UP",0.0541356849861098
"Mexico","BFL_partial","Epilepsy","UP",0.164930882762439
"Mexico","BFL_partial","Pneumonia","UP",0.535810350456482
"Mexico","BFL_partial","COPD","UP",0.861151847431808
"Mexico","BFL_partial","Acute Myocardial Infarction","UP",0.108272546854585
"Mexico","BFL_partial","Fires","UP",0.092166508894862
"Mexico","BFL_partial","Renal Failure","UP",0.642974741745887
"Mexico","BFL_partial","AIDS","UP",0.451053604784812
"Mexico","BFL_partial","Lung Cancer","UP",0.397979274570672
"Mexico","BFL_partial","Maternal","UP",0.296752679049441
"Mexico","BFL_partial","Drowning","UP",0.185040646105323
"Mexico","BFL_partial","Other Cardiovascular Diseases","UP",0.100477834841837
"Mexico","BFL_partial","Other Non-communicable Diseases","UP",0.0389645789431598
"Mexico","BFL_partial","Falls","UP",0.030823134231247
"Mexico","BFL_partial","Stroke","UP",0.41294426743087
"Mexico","BFL_partial","Road Traffic","UP",0.03481028757879
"Mexico","BFL_partial","Bite of Venomous Animal","UP",0.2459388773771
"Mexico","BFL_partial","Diabetes","UP",0.0680157332506999
"Mexico","BFL_partial","Other Infectious Diseases","UP",0.600060160157497
"Mexico","BFL_partial","TB","UP",0.185835295879641
"Mexico","BFL_partial","Suicide","UP",0.206828354306321
"Mexico","BFL_partial","Other Injuries","UP",0.18019362284752
"Mexico","BFL_partial","Cervical Cancer","UP",0.0337371176112236
"Mexico","BFL_partial","Malaria","UP",0.251122144630999
"Mexico","BFL_partial","Asthma","UP",0.158642127362295
"Mexico","BFL_partial","Diarrhea/Dysentery","UP",0.114961872997989
"Mexico","BFL_partial","Colorectal Cancer","UP",0
"Mexico","BFL_partial","Homicide","UP",0.0234317247302318
"Mexico","BFL_partial","Breast Cancer","UP",0.146080707799046
"Mexico","BFL_partial","Leukemia/Lymphomas","UP",0.0219343804290454
"Mexico","BFL_partial","Poisonings","UP",0.510461958464112
"Mexico","BFL_partial","Prostate Cancer","UP",0
"Mexico","BFL_partial","Esophageal Cancer","UP",0
"Mexico","BFL_partial","Stomach Cancer","UP",0
"Mexico","BFL_domain","Cirrhosis","AP",0.0199941722731349
"Mexico","BFL_domain","Epilepsy","AP",0.236015932579421
"Mexico","BFL_domain","Pneumonia","AP",0.137596910499309
"Mexico","BFL_domain","COPD","AP",0.0839111191751705
"Mexico","BFL_domain","Acute Myocardial Infarction","AP",0.576454137332405
"Mexico","BFL_domain","Fires","AP",0.21124570837987
"Mexico","BFL_domain","Renal Failure","AP",0.111980895929667
"Mexico","BFL_domain","AIDS","AP",0.0449955470986574
"Mexico","BFL_domain","Lung Cancer","AP",0.0796854683940231
"Mexico","BFL_domain","Maternal","AP",0.056761029727612
"Mexico","BFL_domain","Drowning","AP",0.279850966431547
"Mexico","BFL_domain","Other Cardiovascular Diseases","AP",0.0184206503695385
"Mexico","BFL_domain","Other Non-communicable Diseases","AP",0.034839880894203
"Mexico","BFL_domain","Falls","AP",0.635216638552002
"Mexico","BFL_domain","Stroke","AP",0.0562114762756593
"Mexico","BFL_domain","Road Traffic","AP",0.765376512865323
"Mexico","BFL_domain","Bite of Venomous Animal","AP",0.257980154323989
"Mexico","BFL_domain","Diabetes","AP",0.00883959818740899
"Mexico","BFL_domain","Other Infectious Diseases","AP",0.0591108639630405
"Mexico","BFL_domain","TB","AP",0.363684420284906
"Mexico","BFL_domain","Suicide","AP",0.177419531063071
"Mexico","BFL_domain","Other Injuries","AP",0.211120599624916
"Mexico","BFL_domain","Cervical Cancer","AP",0.0953857065544979
"Mexico","BFL_domain","Malaria","AP",0.256248366689565
"Mexico","BFL_domain","Asthma","AP",0.169297529648914
"Mexico","BFL_domain","Diarrhea/Dysentery","AP",0.170683224244171
"Mexico","BFL_domain","Colorectal Cancer","AP",0.196402683038713
"Mexico","BFL_domain","Homicide","AP",0.336627065300301
"Mexico","BFL_domain","Breast Cancer","AP",0.0315062615227504
"Mexico","BFL_domain","Leukemia/Lymphomas","AP",0.101710167019607
"Mexico","BFL_domain","Poisonings","AP",0.13811485469674
"Mexico","BFL_domain","Prostate Cancer","AP",0.237556011805583
"Mexico","BFL_domain","Esophageal Cancer","AP",0.322311879754631
"Mexico","BFL_domain","Stomach Cancer","AP",0.246687326296531
"Mexico","BFL_domain","Cirrhosis","Bohol",0.00805253433964774
"Mexico","BFL_domain","Epilepsy","Bohol",0.193863051798672
"Mexico","BFL_domain","Pneumonia","Bohol",0.088218944999442
"Mexico","BFL_domain","COPD","Bohol",0.0382657630182228
"Mexico","BFL_domain","Acute Myocardial Infarction","Bohol",0.250905301872835
"Mexico","BFL_domain","Fires","Bohol",0.159999376197703
"Mexico","BFL_domain","Renal Failure","Bohol",0.0218618639069957
"Mexico","BFL_domain","AIDS","Bohol",0
"Mexico","BFL_domain","Lung Cancer","Bohol",0.0948763679749845
"Mexico","BFL_domain","Maternal","Bohol",0.054240548146774
"Mexico","BFL_domain","Drowning","Bohol",0.158275072410465
"Mexico","BFL_domain","Other Cardiovascular Diseases","Bohol",0.130667138425471
"Mexico","BFL_domain","Other Non-communicable Diseases","Bohol",0.0517071690424184
"Mexico","BFL_domain","Falls","Bohol",0.0754621143238379
"Mexico","BFL_domain","Stroke","Bohol",0.171683789145242
"Mexico","BFL_domain","Road Traffic","Bohol",0.108619038324482
"Mexico","BFL_domain","Bite of Venomous Animal","Bohol",0.244940782306239
"Mexico","BFL_domain","Diabetes","Bohol",0.0118960113523538
"Mexico","BFL_domain","Other Infectious Diseases","Bohol",0.236086673631683
"Mexico","BFL_domain","TB","Bohol",0.12885177602445
"Mexico","BFL_domain","Suicide","Bohol",0.152602759810835
"Mexico","BFL_domain","Other Injuries","Bohol",0.151848608827911
"Mexico","BFL_domain","Cervical Cancer","Bohol",0.0959336926257461
"Mexico","BFL_domain","Malaria","Bohol",0
"Mexico","BFL_domain","Asthma","Bohol",0.166185171860197
"Mexico","BFL_domain","Diarrhea/Dysentery","Bohol",0.135354367282159
"Mexico","BFL_domain","Colorectal Cancer","Bohol",0.311118400594268
"Mexico","BFL_domain","Homicide","Bohol",0.506944685222648
"Mexico","BFL_domain","Breast Cancer","Bohol",0.0452985299004147
"Mexico","BFL_domain","Leukemia/Lymphomas","Bohol",0.12080225406301
"Mexico","BFL_domain","Poisonings","Bohol",0.0955373816221304
"Mexico","BFL_domain","Prostate Cancer","Bohol",0.237077182072098
"Mexico","BFL_domain","Esophageal Cancer","Bohol",0.327247018143746
"Mexico","BFL_domain","Stomach Cancer","Bohol",0.244607786982404
"Mexico","BFL_domain","Cirrhosis","Dar",0.0126913530483797
"Mexico","BFL_domain","Epilepsy","Dar",0.191428522187573
"Mexico","BFL_domain","Pneumonia","Dar",0.0357141868690629
"Mexico","BFL_domain","COPD","Dar",0.0392681608630268
"Mexico","BFL_domain","Acute Myocardial Infarction","Dar",0.0199100589679607
"Mexico","BFL_domain","Fires","Dar",0.158071278149069
"Mexico","BFL_domain","Renal Failure","Dar",0.0252758261836509
"Mexico","BFL_domain","AIDS","Dar",0.0111930669289106
"Mexico","BFL_domain","Lung Cancer","Dar",0.0770102518795568
"Mexico","BFL_domain","Maternal","Dar",0.18109288849656
"Mexico","BFL_domain","Drowning","Dar",0.161339666025641
"Mexico","BFL_domain","Other Cardiovascular Diseases","Dar",0.0234414965774247
"Mexico","BFL_domain","Other Non-communicable Diseases","Dar",0.0297633692677481
"Mexico","BFL_domain","Falls","Dar",0.0377687616028696
"Mexico","BFL_domain","Stroke","Dar",0.0289060419108693
"Mexico","BFL_domain","Road Traffic","Dar",0.0322941424686827
"Mexico","BFL_domain","Bite of Venomous Animal","Dar",0
"Mexico","BFL_domain","Diabetes","Dar",0.0108847359349441
"Mexico","BFL_domain","Other Infectious Diseases","Dar",0.0476220880262969
"Mexico","BFL_domain","TB","Dar",0.135058719671356
"Mexico","BFL_domain","Suicide","Dar",0.159295307524116
"Mexico","BFL_domain","Other Injuries","Dar",0.162137325190302
"Mexico","BFL_domain","Cervical Cancer","Dar",0.617752865815016
"Mexico","BFL_domain","Malaria","Dar",0.252798907025282
"Mexico","BFL_domain","Asthma","Dar",0.165011086604454
"Mexico","BFL_domain","Diarrhea/Dysentery","Dar",0.144647022028714
"Mexico","BFL_domain","Colorectal Cancer","Dar",0.2686856830966
"Mexico","BFL_domain","Homicide","Dar",0.0244731396142404
"Mexico","BFL_domain","Breast Cancer","Dar",0.10496053634203
