"target","variant","cause","domain","lambda"
"Bohol","BFL_base","Pneumonia","UP",0.185647555866183
"Bohol","BFL_base","COPD","UP",0.552451350025453
"Bohol","BFL_base","Acute Myocardial Infarction","UP",0.00587039728089318
"Bohol","BFL_base","Fires","UP",0.1986998907252
"Bohol","BFL_base","Renal Failure","UP",0.0368510945163235
"Bohol","BFL_base","AIDS","UP",0.0450430758617038
"Bohol","BFL_base","Lung Cancer","UP",0.0666716235276297
"Bohol","BFL_base","Maternal","UP",0.20699093843609
"Bohol","BFL_base","Drowning","UP",0.239650092141431
"Bohol","BFL_base","Other Cardiovascular Diseases","UP",0.0792451860754574
"Bohol","BFL_base","Other Non-communicable Diseases","UP",0.0284506245418008
"Bohol","BFL_base","Falls","UP",0.111187474783445
"Bohol","BFL_base","Stroke","UP",0.0252168036742997
"Bohol","BFL_base","Road Traffic","UP",0.0203237083934679
"Bohol","BFL_base","Bite of Venomous Animal","UP",0.321149084441541
"Bohol","BFL_base","Diabetes","UP",0.0219448766746072
"Bohol","BFL_base","Other Infectious Diseases","UP",0.437591900437361
"Bohol","BFL_base","TB","UP",0.0506578536578078
"Bohol","BFL_base","Suicide","UP",0.150685529898521
"Bohol","BFL_base","Other Injuries","UP",0.181169873700719
"Bohol","BFL_base","Cervical Cancer","UP",0.243317499179159
"Bohol","BFL_base","Malaria","UP",0.287708304483215
"Bohol","BFL_base","Asthma","UP",0.19582493358197
"Bohol","BFL_base","Diarrhea/Dysentery","UP",0.44457974246119
"Bohol","BFL_base","Colorectal Cancer","UP",0
"Bohol","BFL_base","Homicide","UP",0.020647281558423
"Bohol","BFL_base","Breast Cancer","UP",0.0503304312382213
"Bohol","BFL_base","Leukemia/Lymphomas","UP",0.0452128767099512
"Bohol","BFL_base","Poisonings","UP",0.277424211341179
"Bohol","BFL_base","Prostate Cancer","UP",0
"Bohol","BFL_base","Esophageal Cancer","UP",0
"Bohol","BFL_base","Stomach Cancer","UP",0
"Bohol","BFL_partial","Cirrhosis","Mexico",0.631672879010448
"Bohol","BFL_partial","Epilepsy","Mexico",0.167530791648116
"Bohol","BFL_partial","Pneumonia","Mexico",0.291620013792117
"Bohol","BFL_partial","COPD","Mexico",0.300343687584965
"Bohol","BFL_partial","Acute Myocardial Infarction","Mexico",0.105180806244027
"Bohol","BFL_partial","Fires","Mexico",0.166743475411235
"Bohol","BFL_partial","Renal Failure","Mexico",0.0551546354064832
"Bohol","BFL_partial","AIDS","Mexico",0.2050271590308
"Bohol","BFL_partial","Lung Cancer","Mexico",0.859009211764252
