"target","variant","cause","domain","lambda"
"Dar","BFL_base","Esophageal Cancer","UP",0
"Dar","BFL_base","Stomach Cancer","UP",0
"Dar","BFL_partial","Cirrhosis","Mexico",0.735484183390382
"Dar","BFL_partial","Epilepsy","Mexico",0.180835417923548
"Dar","BFL_partial","Pneumonia","Mexico",0.405056216886927
"Dar","BFL_partial","COPD","Mexico",0.249194821259262
"Dar","BFL_partial","Acute Myocardial Infarction","Mexico",0.443416537488489
"Dar","BFL_partial","Fires","Mexico",0.0760287197540997
"Dar","BFL_partial","Renal Failure","Mexico",0.411334386585122
"Dar","BFL_partial","AIDS","Mexico",0.684492729484247
"Dar","BFL_partial","Lung Cancer","Mexico",0.617976516050396
"Dar","BFL_partial","Maternal","Mexico",0.50997728450503
"Dar","BFL_partial","Drowning","Mexico",0
"Dar","BFL_partial","Other Cardiovascular Diseases","Mexico",0.738293137111611
"Dar","BFL_partial","Other Non-communicable Diseases","Mexico",0.19720504938067
"Dar","BFL_partial","Falls","Mexico",0.122589665431329
"Dar","BFL_partial","Stroke","Mexico",0.342307858672726
"Dar","BFL_partial","Road Traffic","Mexico",0.00801567939070691
"Dar","BFL_partial","Bite of Venomous Animal","Mexico",0.240569758633776
"Dar","BFL_partial","Diabetes","Mexico",0.0979231102339128
"Dar","BFL_partial","Other Infectious Diseases","Mexico",0.0307102506832984
"Dar","BFL_partial","TB","Mexico",0.0147539178345887
"Dar","BFL_partial","Suicide","Mexico",0.0279139862703923
"Dar","BFL_partial","Other Injuries","Mexico",0.128590213197649
"Dar","BFL_partial","Cervical Cancer","Mexico",0.950201868400769
"Dar","BFL_partial","Malaria","Mexico",0
"Dar","BFL_partial","Asthma","Mexico",0.159100990985073
"Dar","BFL_partial","Diarrhea/Dysentery","Mexico",0.097447807762058
"Dar","BFL_partial","Colorectal Cancer","Mexico",0.9732839205212
"Dar","BFL_partial","Homicide","Mexico",0.102377852724627
"Dar","BFL_partial","Breast Cancer","Mexico",0.855042313272042
"Dar","BFL_partial","Leukemia/Lymphomas","Mexico",0.792227465522993
"Dar","BFL_partial","Poisonings","Mexico",0.0984509691775823
"Dar","BFL_partial","Prostate Cancer","Mexico",0.74887473038458
"Dar","BFL_partial","Esophageal Cancer","Mexico",0
"Dar","BFL_partial","Stomach Cancer","Mexico",0.842927040932263
"Dar","BFL_partial","Cirrhosis","AP",0.0895574351074049
"Dar","BFL_partial","Epilepsy","AP",0.454537216812779
"Dar","BFL_partial","Pneumonia","AP",0.0967607194944577
"Dar","BFL_partial","COPD","AP",0.254774450924876
"Dar","BFL_partial","Acute Myocardial Infarction","AP",0.361913724648834
"Dar","BFL_partial","Fires","AP",0.759121783833969
"Dar","BFL_partial","Renal Failure","AP",0.281034966454096
"Dar","BFL_partial","AIDS","AP",0.308306887702209
"Dar","BFL_partial","Lung Cancer","AP",0.083582575049402
"Dar","BFL_partial","Maternal","AP",0.0105019126200374
"Dar","BFL_partial","Drowning","AP",0.307355698320336
